Date,Open,High,Low,Last,Volume,Open Interest
2021/3/12,643,645.75,640,641.75,2589,21858
2021/3/11,648.25,651,640.25,641.5,2439,0
2021/3/10,652.5,653.75,643.25,648.75,2785,21829
2021/3/9,648.25,656.5,648.25,654.5,1651,21114
2021/3/8,655,657.75,642.25,648.25,1926,20745
2021/3/5,649.25,656.5,645.75,651,3361,20573
2021/3/4,647,655.75,645.5,649.75,2220,19915
2021/3/3,650.75,652.5,642.25,649,1196,19686
2021/3/2,641.5,654,639,651.75,1437,19815
2021/3/1,647.75,652.25,639,641.5,1850,19707
2021/2/26,656,656.5,644.75,646.75,2076,19794
2021/2/25,663.25,664.75,652,658.5,2244,19889
2021/2/24,654.5,666.25,654.5,664.75,1018,19631
2021/2/23,657.5,657.5,652,656.25,1589,19319
2021/2/22,647.75,658,647.75,657.25,1941,19148
2021/2/19,650.5,654.5,641.75,647.75,2231,18646
2021/2/18,641,653,641,650.75,1706,18464
2021/2/17,648,649,636,642.25,1515,18106
2021/2/16,642.25,650.5,638.75,649,3103,18189
2021/2/15,635.75,642.5,633,634,1071,17518
2021/2/12,635.75,642.5,633,634,1071,17518
2021/2/11,637.25,646.25,634.25,634.75,2183,17356
2021/2/10,646.5,649,633,637.25,3070,17554
2021/2/9,653,656,638.25,645.25,1417,16876
2021/2/8,643.75,654.5,643.75,653,2814,16582
2021/2/5,639.75,646.5,636,644,3602,16137
2021/2/4,639.75,644.5,635.5,639.75,1920,16019
2021/2/3,635.25,642.25,626.25,640.75,1715,16508
2021/2/2,638,639.75,631.75,636,999,16826
2021/2/1,647.75,651.25,633.5,637.75,1327,16668
2021/1/29,634.5,648,634.5,647.25,1447,16321
2021/1/28,641.5,652.5,633.75,634.75,1345,16123
2021/1/27,649.75,656.5,643,647,1193,0
2021/1/26,639.75,655,634.75,652,1335,15549
2021/1/25,623,641.5,621,639.75,1962,15469
2021/1/22,648.25,648.25,626,627.25,845,15442
2021/1/21,648.75,655.75,646,649.25,1575,15269
2021/1/20,657.25,658.25,645.25,650.25,2213,15002
2021/1/19,657,665.75,654.25,657.25,3188,14824
2021/1/18,652.25,664.25,648.75,656,2836,14105
2021/1/15,652.25,664.25,648.75,656,2836,14105
2021/1/14,636,655,636,652.25,1919,14144
2021/1/13,632.5,646.5,630,640,2439,13995
2021/1/12,617,640.25,617,633,1631,13645
2021/1/11,619.75,626,614,617.75,2399,0
2021/1/8,616,623.75,609.5,619.5,927,13162
2021/1/7,621.5,621.5,613.5,616.75,1505,12942
2021/1/6,620.25,624.25,617.25,619.5,1940,12379
2021/1/5,612.25,626.5,612.25,620.25,2087,11691
2021/1/4,610.75,619.25,607.25,612,1198,11272
2021/1/1,608.5,613,605,612,1825,11222
2020/12/31,608.5,613,605,612,1825,11222
2020/12/30,595.5,611,595,608.75,260,10973
2020/12/29,591.5,598.25,591.5,595.5,885,10949
2020/12/28,597,599.25,584,592,992,11035
2020/12/25,594,600,593.75,598,2779,10996
