,5+5,5+6,5+7,5+8,5+9,5+10,5+11,5+12,5+13,5+20,5+50,5+100,6+5,6+6,6+7,6+8,6+9,6+10,6+11,6+12,6+13,6+20,6+50,6+100,7+5,7+6,7+7,7+8,7+9,7+10,7+11,7+12,7+13,7+20,7+50,7+100,8+5,8+6,8+7,8+8,8+9,8+10,8+11,8+12,8+13,8+20,8+50,8+100,9+5,9+6,9+7,9+8,9+9,9+10,9+11,9+12,9+13,9+20,9+50,9+100,10+5,10+6,10+7,10+8,10+9,10+10,10+11,10+12,10+13,10+20,10+50,10+100,11+5,11+6,11+7,11+8,11+9,11+10,11+11,11+12,11+13,11+20,11+50,11+100,12+5,12+6,12+7,12+8,12+9,12+10,12+11,12+12,12+13,12+20,12+50,12+100,13+5,13+6,13+7,13+8,13+9,13+10,13+11,13+12,13+13,13+20,13+50,13+100,20+5,20+6,20+7,20+8,20+9,20+10,20+11,20+12,20+13,20+20,20+50,20+100,50+5,50+6,50+7,50+8,50+9,50+10,50+11,50+12,50+13,50+20,50+50,50+100,100+5,100+6,100+7,100+8,100+9,100+10,100+11,100+12,100+13,100+20,100+50,100+100
count,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
mean,57.3514,15.409,17.1313,13.828,12.6857,12.4515,13.4791,11.4052,13.3926,13.4567,15.107,10.2515,13.6078,16.2078,15.0426,14.8365,11.6919,13.651,14.3999,16.3061,11.6442,11.3964,11.9843,9.2581,12.2929,11.3791,12.745,11.1117,12.531,16.2771,14.3613,12.2219,16.9072,11.8719,11.823,10.1926,12.4247,11.8016,11.7516,11.6045,17.0664,10.5092,15.2228,12.374,11.6837,12.1843,12.2419,10.6912,11.7557,12.4178,12.7331,11.7957,14.2521,12.0228,14.5601,13.6005,10.8908,10.2339,11.6166,11.6363,11.2319,12.7587,12.1359,13.2618,11.4558,13.9351,13.2301,14.4756,10.9221,13.157,11.3887,10.4991,11.5533,13.4141,11.7209,14.869,12.7663,33.6616,12.0772,11.0577,12.6441,10.0673,10.3428,10.1825,25.0021,12.926,14.1636,10.2302,14.9951,11.7562,15.1331,13.3826,13.7039,12.4984,10.875,10.4118,12.5108,12.9175,12.9498,16.9616,13.0636,12.4057,18.867,10.8728,11.4501,11.0906,11.7181,9.9333,10.9699,48.4757,14.5648,10.7261,11.7072,10.0772,10.6253,10.8235,11.0772,12.2986,9.9736,8.5477,9.7176,9.5811,9.7359,11.6377,11.9773,11.1695,8.7092,10.9123,10.2606,9.5881,9.4914,9.0967,35.8533,8.2306,10.1229,10.6468,11.592,9.0696,8.0306,10.0948,10.7454,9.091,9.0939,7.981
std,132.3201,58.7583,62.581,54.6414,48.5055,41.9087,50.7273,42.1594,52.1518,46.7229,57.009,35.3074,48.2657,59.1846,52.6439,52.0442,43.2578,45.2378,50.4499,60.1173,41.4013,39.833,47.921,30.3491,45.4892,42.7173,50.4651,40.4753,47.3976,66.5114,52.9088,49.5843,65.8158,43.1198,39.9409,40.5209,46.906,42.9802,44.8735,41.4857,65.9749,37.8372,57.3196,46.0109,42.9171,45.6641,48.5215,40.2381,44.4213,46.9427,49.3141,39.16,55.4272,44.2582,56.0651,50.8865,41.7351,38.0975,46.2129,48.9967,42.4212,50.072,47.6089,51.0544,42.3032,51.4847,49.5167,53.3861,41.9582,51.8868,44.6634,42.6041,40.0617,49.6169,40.0373,55.6,46.5989,104.1482,45.3411,40.7091,46.9013,34.7403,38.1767,37.8025,87.8458,52.0083,53.7641,35.3112,60.1007,45.1245,56.6229,53.4251,54.6943,51.0527,42.8021,42.0328,45.3492,47.0655,49.4683,65.9521,52.6747,48.1086,75.2198,39.1562,42.216,41.4731,44.1383,37.9073,39.079,125.8042,58.0393,42.8042,45.5607,37.4204,39.7965,37.3675,42.1752,51.0533,37.1447,30.1301,34.8212,34.4484,36.1047,47.3524,48.4612,44.9239,29.3029,44.2233,38.8948,34.8569,37.0685,32.7283,107.8562,27.8531,42.7522,43.1432,47.889,31.6721,24.5638,38.3816,43.5952,31.4308,34.3602,24.8481
min,4.4926,4.5693,4.7311,4.3552,4.6786,4.9551,4.7466,4.4748,4.8367,5.3658,4.4661,4.7322,4.8311,5.1806,5.2031,5.4277,4.373,5.2328,5.2959,4.5202,4.8735,4.6356,4.8345,4.3203,4.5019,4.5019,4.4034,4.2403,4.6424,4.4812,5.347,4.2345,4.3152,4.6759,5.1058,4.14,4.5484,4.3883,4.0707,4.1918,4.3062,4.5406,4.7976,4.7335,4.589,4.5331,4.5506,4.4724,4.5726,4.7289,4.652,5.1082,4.5884,4.6595,4.8196,4.5675,4.3876,4.137,4.3973,4.2497,4.0323,4.2721,4.252,4.4188,4.2765,4.7989,5.0269,4.9235,4.1467,4.7173,4.4272,4.08,4.4127,4.5838,4.5434,4.3864,4.6712,4.5233,4.3932,4.4495,4.5827,4.3282,4.5225,4.5857,4.5576,4.4547,4.5929,4.5107,4.4168,4.4722,4.8897,4.3341,4.6722,4.304,4.1012,4.3053,4.5622,4.4741,4.5439,4.5917,4.2323,4.2334,4.4077,4.8141,4.4288,4.2713,4.9795,4.2665,4.4131,4.6568,4.5304,4.0916,4.4326,4.3423,4.553,4.4125,4.2074,4.2512,4.4658,4.2452,4.3813,4.2716,4.1895,4.3494,4.3285,4.4049,4.1923,4.2096,4.2976,4.3785,4.0498,4.2835,4.3043,4.0293,4.2361,4.1428,4.2235,4.2355,4.3343,4.2166,4.1514,4.2522,4.2379,4.3801
25%,5.0013,4.784,4.9595,4.6074,4.9044,5.1924,4.9072,4.6939,5.0491,5.6627,4.6042,4.8576,5.1218,5.3279,5.3845,5.6218,4.5158,5.4024,5.4442,4.7358,5.087,4.9416,5.0931,4.7205,4.6773,4.7717,4.5885,4.4911,4.8248,4.7196,5.4733,4.4293,4.4998,4.9196,5.4029,4.3426,4.8013,4.6077,4.2133,4.561,4.5241,4.7126,4.9212,5.0195,4.7024,4.6792,4.6718,4.8197,4.7893,4.9753,4.9165,5.3675,4.7872,4.9122,4.9918,4.743,4.5793,4.3389,4.5879,4.5322,4.1716,4.4717,4.4076,4.6666,4.5131,5.035,5.3627,5.1041,4.3147,4.8046,4.5586,4.2512,4.6241,4.7718,4.7001,4.6433,4.9145,4.8123,4.6089,4.6437,4.7668,4.5617,4.7049,4.7777,4.7407,4.6213,4.8126,4.7846,4.6774,4.634,5.0961,4.5218,4.9744,4.5375,4.2399,4.5363,4.7579,4.7213,4.7865,4.787,4.5508,4.5401,4.5824,5.0494,4.5847,4.4267,5.2108,4.4352,4.647,4.9188,4.7768,4.3082,4.6907,4.4621,4.7336,4.7639,4.4342,4.3464,4.6459,4.3899,4.6137,4.5168,4.3626,4.5629,4.4836,4.6363,4.3789,4.35,4.4792,4.5602,4.2662,4.5383,4.5257,4.2479,4.4883,4.366,4.4162,4.4435,4.5574,4.416,4.3494,4.4751,4.4274,4.609
50%,6.6996,5.2705,5.3762,5.067,5.3977,5.717,5.4163,5.1675,5.4679,6.2235,5.1885,5.2852,5.5624,5.7223,5.9439,5.9913,4.9411,5.8738,5.8146,5.2121,5.5597,5.5801,5.6084,5.3166,5.1338,5.3025,5.0576,5.0912,5.2997,5.1141,5.8275,4.8692,4.9701,5.4002,5.9499,4.9144,5.4102,5.1202,4.6977,5.1578,5.0234,5.2038,5.2962,5.5254,5.1092,5.1756,5.166,5.3916,5.2521,5.5052,5.3367,5.8689,5.2084,5.3066,5.4446,5.1187,5.0438,4.8927,5.0597,5.1837,4.9433,5.0748,4.8963,5.1396,5.0779,5.5139,5.8979,5.5723,4.8361,5.2028,4.9536,4.7126,5.1098,5.2283,5.1413,5.0973,5.4241,5.409,5.1758,5.1157,5.2372,5.2955,5.1675,5.3178,5.1412,5.1548,5.3065,5.3571,5.2065,5.1082,5.6515,5.1338,5.5416,5.117,4.6442,4.989,5.2506,5.4115,5.3398,5.2919,5.1776,5.1685,5.0125,5.586,5.0432,4.9109,5.7587,4.8591,5.0835,5.3777,5.2716,4.8373,5.2158,4.9309,5.2631,5.3913,4.9664,4.8142,5.1525,4.9148,5.2528,4.9948,5.038,5.1377,5.0823,5.1752,4.8495,4.9654,5.0134,5.101,4.8011,5.2306,5.1182,4.7872,4.9424,4.9219,4.884,5.0094,5.1576,4.9146,4.8828,5.2018,5.0053,5.113
75%,12.9736,6.508,6.7126,6.6402,6.8658,7.8707,7.3444,6.6486,6.4375,8.2911,8.6791,7.132,7.0409,7.0888,8.5455,7.8198,6.5941,8.2467,7.8922,8.0107,6.9511,7.0844,6.608,6.7966,6.6923,6.5313,6.082,6.6341,6.6457,6.0546,7.2632,5.8279,6.498,6.899,7.5,6.1984,6.4404,6.2003,5.9461,7.377,6.7941,6.2824,7.6029,7.0806,6.5977,6.6599,6.109,6.3682,6.3784,7.0057,6.6782,7.3661,6.3736,6.699,7.0472,6.5707,6.0006,5.9621,6.4422,6.3815,6.5023,6.486,6.3407,6.8493,6.9196,7.3186,7.0662,6.9084,6.1307,6.4134,6.4528,5.7978,7.0902,7.1276,7.0399,7.2705,7.1701,6.997,6.7054,6.7556,6.9164,7.0772,6.3493,6.7754,6.182,6.575,6.839,6.8387,7.2589,6.1306,8.2341,6.678,6.6713,6.2565,6.2968,6.2858,6.9012,6.7791,6.687,6.5425,6.5597,6.9151,5.9428,6.8349,6.5867,6.3699,6.9172,5.9179,6.2039,7.0601,6.5483,5.9473,6.3476,6.004,6.531,6.7043,6.6165,5.8888,6.2286,6.2608,6.5367,6.1904,6.3975,6.5258,6.6796,6.2803,6.1664,6.2196,6.298,6.4616,6.025,6.65,6.5543,6.2332,5.9034,6.1425,6.288,6.4972,6.4144,6.2138,6.1704,6.6933,6.4965,6.3293
max,425.6545,435.8674,417.7624,425.696,417.3402,374.6492,445.4336,406.2249,429.7353,418.9921,461.0534,393.5652,405.5686,424.793,423.0223,407.7091,386.9653,374.1525,418.6033,461.8753,390.7631,371.9893,466.849,365.2437,395.6094,387.2327,424.3278,378.8136,419.2239,546.7053,420.022,431.2431,447.2539,392.2281,393.0696,413.6853,413.5792,396.7172,409.551,403.8185,465.0038,376.7453,438.9607,414.9872,393.432,423.1879,452.484,415.0495,413.7044,450.5693,440.0696,359.6092,424.9621,402.783,449.2396,410.4799,404.8752,371.3893,460.5433,516.7633,401.2654,444.0549,440.5559,446.9287,402.5681,425.3236,423.8626,430.3904,403.7878,428.02,440.0618,431.3277,385.5167,414.7644,356.7983,427.8234,407.7929,465.8982,407.5309,417.5576,395.9634,369.2605,392.2294,415.3227,454.1579,476.347,431.4428,392.7333,512.307,407.2998,484.0173,470.9804,475.9548,450.8652,437.7032,454.1092,403.2389,412.7385,415.9761,460.2116,467.9656,447.9771,510.3536,401.1305,404.0793,408.6436,432.5867,401.7419,388.826,421.0922,448.0117,415.3953,435.3474,393.836,406.86,368.8056,411.1458,474.753,406.8843,387.1706,406.4032,381.9845,399.0157,497.9673,477.7709,452.6325,348.1704,482.6876,422.4376,409.6279,436.4759,432.6172,430.1992,361.8749,501.5835,483.8856,482.1088,388.9697,345.4151,440.0183,493.0989,395.3682,469.479,386.4869
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14,,,4.0707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0916,,,,,,,,,,,,,,,,,,,,,,4.0293,,,,,,,,,,
